bloc,dimension,speeches,bloc_share,overall_share,difference_pp,label
Center,Financial barriers,0,0,2.412280701754386,-2.412280701754386,-2.4 pp
Center,Geography and local services,52,52.525252525252526,41.666666666666664,10.858585858585862,+10.9 pp
Center,Primary care and continuity,24,24.242424242424242,27.19298245614035,-2.950558213716107,-3.0 pp
Center,Rights and choice,3,3.0303030303030303,3.289473684210526,-0.25917065390749583,-0.3 pp
Center,Staff shortages and recruitment,2,2.0202020202020203,3.7280701754385963,-1.707868155236576,-1.7 pp
Center,Waiting times and capacity,18,18.181818181818183,21.710526315789473,-3.528708133971289,-3.5 pp
Left,Financial barriers,6,4.25531914893617,2.412280701754386,1.843038447181784,+1.8 pp
Left,Geography and local services,66,46.808510638297875,41.666666666666664,5.141843971631211,+5.1 pp
Left,Primary care and continuity,42,29.78723404255319,27.19298245614035,2.5942515864128417,+2.6 pp
Left,Rights and choice,2,1.4184397163120568,3.289473684210526,-1.8710339678984693,-1.9 pp
Left,Staff shortages and recruitment,7,4.964539007092198,3.7280701754385963,1.2364688316536019,+1.2 pp
Left,Waiting times and capacity,18,12.76595744680851,21.710526315789473,-8.944568868980962,-8.9 pp
Right,Financial barriers,5,2.314814814814815,2.412280701754386,-0.09746588693957126,-0.1 pp
Right,Geography and local services,72,33.333333333333336,41.666666666666664,-8.333333333333329,-8.3 pp
Right,Primary care and continuity,58,26.85185185185185,27.19298245614035,-0.34113060428849806,-0.3 pp
Right,Rights and choice,10,4.62962962962963,3.289473684210526,1.3401559454191037,+1.3 pp
Right,Staff shortages and recruitment,8,3.7037037037037037,3.7280701754385963,-0.024366471734892592,-0.0 pp
Right,Waiting times and capacity,63,29.166666666666668,21.710526315789473,7.456140350877195,+7.5 pp
