publication_date,publication_id,publication_title,speaker,party,bloc,speech_type,text
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Kai Steffen Østensen,A,Left,hovedinnlegg,"Kai Steffen Østensen (A) [10:06:06]: Godt nytt år, president, og takk til saksordføreren for arbeidet og redegjørelsen i saken. Dette er en sak som understreker viktigheten av fortsatt å løfte, prioritere og helhetlig rigge et psykisk helsetjenestetilbud som gir gode og tilgjengelige tjenester der folk bor og trenger hjelp. En sånn helhetlig tilnærming bygger på opptrappingsplanen for psykisk helse som vi la fram sammen med Senterpartiet i 2023. Planen er helhetlig og langsiktig og ser forebygging, lavterskeltilbud og tilbud i spesialisthelsetjenesten i sammenheng – et vesentlig poeng for Arbeiderpartiet – sånn at pasientene får riktig behandling til riktig tid, av de fagfolkene som har kompetansen til å gi det. De distriktspsykiatriske sentrene er en del av planen, og målet er klart: De skal utvikles og styrkes, for vi trenger både poliklinisk behandling, ambulant behandling og døgnbehandling i det som for Arbeiderpartiet handler om å sikre økt totalkapasitet for psykisk helsevern – og arbeidet følges opp. Arbeiderparti-regjeringen har bedt sykehusene lage konkrete og tidfestede planer for hvordan døgnkapasiteten i psykisk helsevern skal øke fram mot 2030, i tråd med framskrivingsplanene, både på sykehus og ved DPS-ene. Dette er et viktig oppdrag som er prioritert, og som sørger for at vi bygger på helheten i vår felles helsetjeneste. Komiteens flertall løfter et viktig poeng om fagfolkbehovet framover. Fagfolkene er grunnplanken i helsetjenesten – uten dem, ingen tjeneste. Det er også derfor vi er i dialog med alle partiene på Stortinget om en ny helsepersonellplan fram mot 2040, med mål om å styrke innsatsen for utdanning og rekruttering, men også for å sikre at vi beholder flere folk i tjenesten. Arbeidet er allerede i gang, og vi vil også inkludere psykisk helsevern. Innspillene til dette representantforslaget bør vi ta med oss inn i arbeidet. Til slutt: Arbeiderpartiet er tydelig på at Stortinget bør være varsomt med å gå inn i hvorvidt enkelttilbud skal legges ned eller opprettes ved ulike helseforetak. Vi setter de overordnede målene for vår felles helsetjeneste i denne sal, mens sykehusene må ha handlingsrommet til å kunne få levere på oppdraget. Det stadig å gripe inn i enkeltbeslutninger vil være å flytte de faglige forsvarlighetsvurderingene fra fagmiljøene til politikerne. La meg likevel understreke at vi ser behovet for å fornye dagens helsemodell, sånn at vi alltid har rammene til å gi verdens beste helsetjeneste. Det arbeidet er i gang med regjeringens varslede helsereform. Skal vi gi trygghet for folks psykiske helse, må vi sørge for at vi bygger opp totalkapasiteten i psykisk helsevern. Det er det Arbeiderpartiet prioriterer."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Margret Hagerup,H,Right,hovedinnlegg,"Margret Hagerup (H) [10:09:12]: Psykisk helse er et av de viktigste områdene i helsepolitikken. Det handler om mennesker som strever, familier som står i krevende situasjoner, og et helsevesen som må være tilgjengelig når behovene er størst. Derfor er det også bred enighet i denne salen om at psykisk helsevern må styrkes, og at distriktspsykiatriske sentre er en helt sentral del av dette tilbudet. Høyre deler intensjonen bak representantforslaget som ligger til grunn for denne innstillingen. Vi er enige om at kapasiteten innen psykisk helsevern er presset, at mange pasienter opplever for lange ventetider, og at mangel på personell er en alvorlig utfordring både i spesialisthelsetjenesten og i kommunene. Samtidig er det viktig å være tydelig på hvordan vi best kan løse disse utfordringene. Høyre mener at en styrking av DPS-ene ikke kan skje gjennom detaljstyring fra Stortinget av enkeltinstitusjoner eller bestemte døgntilbud. Slike beslutninger må tas på bakgrunn av faglige vurderinger, pasientenes behov og helheten i tjenestetilbudet – ikke gjennom politiske vedtak om konkrete lokaliseringer eller driftsformer. Helsepolitikk handler også om prioriteringer og realisme. Vi står allerede i en situasjon der mangelen på kvalifisert helsepersonell er den største flaskehalsen i tjenestene. Å vedta nye opptrappingsplaner uten samtidig å sikre rekruttering, utdanning og bedre bruk av personell, risikerer å bli symbolpolitikk med gode intensjoner, men begrenset effekt for pasientene. Høyre mener derfor at en videre utvikling av DPS-tilbudet må inngå i en helhetlig plan for psykisk helsevern – en plan som ser spesialisthelsetjenesten og kommunehelsetjenesten i sammenheng, som legger til rette for mer ambulante tjenester, bedre samhandling og større fleksibilitet, og som tar hensyn til at behovene kan variere betydelig mellom ulike deler av landet. Høyres mål er klart: Pasientene skal få raskere hjelp, bedre kvalitet i behandlingen og et mer tilgjengelig psykisk helsevern uavhengig av hvor de bor. Det er pasientens helsetjeneste. For å få til det må vi gi fagmiljøene tillit, sikre bærekraftige rammer og prioritere tiltak som faktisk styrker kapasiteten i tjenestene. Høyre støtter det første forslaget om å gjennomføre en helhetlig og faglig gjennomgang av tilbudet, med en tydelig føring om å hindre nedbygging av den totale kapasiteten innen psykisk helsevern. Høyre deler ambisjonen om et sterkt og desentralisert psykisk helsevern. Samtidig mener vi at veien dit må være faglig forankret, helhetlig og realistisk."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Kathy Lie,SV,Left,hovedinnlegg,"Kathy Lie (SV) [10:12:09]: I denne saken fremmer vi forslag som er både overordnede og prinsipielle og et forsvar mot nedleggelse av konkrete distriktspsykiatriske sentre vi vet det er planer om å legge ned, eller hvor man planlegger å legge ned døgnplassene. Det er stort behov for psykisk helsehjelp i hele landet, og for mange er det viktig å kunne få den hjelpen i nærheten av der de bor og lever sitt liv. Man skal ikke behøve å bo i en større by for å ha psykisk helsehjelp innenfor rimelig reiseavstand. Det er jo hele kjernen i at man i sin tid satset på å få spesialisert psykisk helsehjelp ut av de store sykehusene i form av DPS-er. Altfor mange med psykiske helseplager får ikke den hjelpen de trenger. Mange oppsøker ikke hjelp, og mange av dem som ber om hjelp, får ikke hjelp, eller de får hjelpen altfor sent. Kapasiteten innen psykisk helsevern er rett og slett for lav. Vi har en opptrappingsplan for psykisk helsehjelp, men i dag tror jeg det er mange som ikke opplever noen opptrapping. Særlig er jeg bekymret for at så mange unge sliter med psykisk uhelse. Det er selvfølgelig kritisk for den enkelte som får et vanskelig liv, men også for samfunnet når stadig flere unge ender opp som uføre. Skiftende regjeringer har sagt de skal satse på psykisk helse i mange år. Det vises til statistikker som sier at det er like mange døgnplasser i psykisk helsevern nå som for noen år tilbake, men opplevelsen der ute er en helt annen. Stadig hører vi om fortvilte mennesker som opplever at deres distriktspsykiatri legges ned. Fra et stort helseforetaks side kan det virke bagatellmessig å legge ned en sengeplass her og der, eller endog å flytte sengene et annet sted, men for dem som lever sitt liv i et distrikt hvor den helsehjelpen de visste var i nærheten, ikke lenger er der, er dette dramatisk. Jeg er enig i at helsetilbudet i Norge ikke styres best gjennom enkeltvedtak i Stortinget, men gjennom gode utredninger og god planlegging av det totale tilbudet. Vi kan likevel ikke bare sitte her og se på at psykiatrien bygges ned og sengeplasser flyttes og legges ned, samtidig som alle er enige om at vi skal styrke psykiatrien, og samtidig som vi faktisk har en opptrappingsplan som skal gi bedre og mer psykisk helsehjelp – ikke mindre. Derfor støtter SV forslagene om bevaring av DPS-tilbudet i Seljord og i Troms. SV støtter alle forslag som fremmes i saken. Vi er godt fornøyde med at det er flertall i komiteen for å gjøre en helhetlig faglig gjennomgang av tilbudet innen psykisk helsevern, og at det skal fremmes en konkret og tidfestet plan for utvikling av distriktspsykiatriske sentre i hele Norge. Vi er også godt fornøyd med at det er flertall for å be regjeringen sikre at inntil vi har denne planen på bordet, skal alle planer og vedtak om nedleggelser eller svekking av døgnplasser stilles i bero. Vi er dessuten fornøyde med at vi skal få til en satsing på utdanning og rekruttering av helsepersonell innen psykisk helsevern. Med dette vil jeg bare si: Godt nytt psykisk helseår til alle!"
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Kjersti Toppe,Sp,Center,hovedinnlegg,"Kjersti Toppe (Sp) [10:15:19] (leiar i komiteen): Takk til komiteen for samarbeidet om saka. I den førre store opptrappingsplanen for psykisk helse, frå 1999 til 2008, vart det etablert distriktspsykiatriske senter i heile Noreg. Det var ei tydeleg politisk satsing på desentralisert struktur av spesialiserte tilbod innan psykisk helsevern. Ei slik utbygging skulle sikra nærleik til pasientar, og at dei store institusjonane ikkje lenger skulle vera hovudregelen i psykisk helsevern. Oppbygginga av DPS skulle sikra desentralisert behandling, spesialiserte tilbod og eit godt samarbeid om pasientar med kommunane, og det skulle inngå i det heilskaplege behandlingstilbodet innan psykisk helsevern. Det har vore fleire opptrappingar etterpå, bl.a. ein opptrappingsplan som vart vedtatt i Stortinget i 2023, som òg skulle fortsetja ei utvikling av det nære helsetilbodet i psykisk helsevern. Vår store bekymring er likevel at trass i ein vedtatt opptrappingsplan er fleire DPS-ar føreslått lagde ned, eller det er gjort vedtak om nedlegging. I høyringa komiteen hadde, kom det fram frå fleire at det no skjer ei stille nedbygging av DPS-ar i psykisk helsevern. Legeforeningen påpeikte at fleire DPS-einingar har fått redusert kapasitet eller har mista døgnfunksjonen. Fagforbundet rapporterer om at tillitsvalde seier at det no skjer ei nedbygging av DPS-ar over heile landet. I Seljord er det no gjort eit vedtak om å leggja ned DPS-en. Det vil bety at kapasiteten for psykosepasientar når det gjeld døgnbehandling, vert redusert med 40 pst. Mitt spørsmål er om Stortinget kan karakterisera dette som ei enkeltsak som ikkje er Stortinget verdig å bry seg om, og at vi berre skal visa til at dette er ei fagleg utvikling vi skal ha respekt for. I opptrappingsplanen for 2000-talet var det ein politisk visjon om eit desentralisert tilbod. Eg ser ikkje den visjonen no. Eg synest det er veldig, veldig trist at ein skal leggja ned eit fagmiljø i Seljord med over 20 kompetente medarbeidarar og eit unikt tilbod for ei sårbar pasientgruppe i Øvre Telemark med meir. Det synest eg faktisk at Stortinget skulle ha brydd seg om. Eg er glad for fleirtalet vi har fått for det eine forslaget, og forslaga er vel tatt opp frå før."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Seher Aydar,R,Left,hovedinnlegg,"Seher Aydar (R) [10:18:41]: Psykisk helsevern må styrkes, ikke svekkes. I Telemark og Troms legges døgntilbud ned, og selv ved store sykehus som Oslo universitetssykehus kuttes det dramatisk. Med helseforetaksmodellen skal sykehusene få folk gjennom. De skal produsere behandling. De vil at pasienten skal raskt inn og raskt ut. Det har gjort at psykisk helsevern har vært salderingspost i helseforetakene lenge. Hver eneste helseminister som har sittet siden helseforetaksmodellen ble innført, har forsøkt å få helseforetakene til å prioritere psykisk helse, uten å klare det. Psykisk helse lønner seg ikke i sykehusenes system. Da er det der de kutter når økonomien settes under press. Det er altså økonomiske kutt, ikke faglige. Kuttene i psykisk helse i spesialisthelsetjenesten har lempet ansvaret over på kommunene, noe de verken har kapasitet eller kompetanse til å håndtere. Jeg er bekymret over en situasjon der befolkningens psykiske helseproblemer øker, uten at tjenesten er rustet til å møte det behovet. Høyre innførte innsatsstyrt finansiering i poliklinisk psykisk helsevern, til tross for advarsler fra fagfolkene. Resultatet har vært at de ansatte har måttet bruke mye av tiden sin på administrative oppgaver og koordinering av pasientene. Det har helt klart gått ut over pasientene. Ifølge en medlemsundersøkelse Psykologforeningen utførte, oppleves det at rammene er for trange, og at de presses til å skrive ut pasienter før de er ferdig behandlet. Nå har DPS-ene store vansker med å holde på og rekruttere psykologer, og det påvirker selvfølgelig tilbudet over hele landet. Det som skjer nå, er at over hele landet står tilbud i fare for enten å bli lagt ned eller å kuttes kraftig i. Riksrevisjonen har kommet med sterk kritikk av tjenestetilbudet for mennesker som sliter med rus og psykiske helselidelser. Det er faktisk ikke sånn at pasientene blir borte selv om tilbud blir vedtatt lagt ned, og legges ned. Derimot fører disse kuttene i psykisk helsehjelp til at mange pasienter blir stående uten hjelp, oppfølging og behandling, og det til tross for at de har et behov for helsehjelp. Det er det som er konsekvensen av å vedta å legge ned psykiske helsetilbud til tross for at behovet er til stede. Noen oppsøker aldri hjelp. Det finnes det ulike grunner til. Andre som derimot faktisk oppsøker hjelp, får ikke den hjelpen de trenger. Ja, mange får også veldig god hjelp av dyktige fagfolk. Det vi ber om i disse forslagene, er at det skal bli tilgjengelig for flere over hele landet, uansett om de bor i Troms, Telemark, Oslo eller et annet distrikt eller en annen storby – altså uavhengig av geografi, økonomi eller bakgrunn. Rødt er mot nedleggelse av tilbudene, fra nord til sør."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Marius Langballe Dalin,MDG,Center,hovedinnlegg,"Marius Langballe Dalin (MDG) [10:21:52]: Det er vondt å miste noko som har betydd mykje for ein. Vi som kjem frå Distrikts-Noreg, blir med rette bekymra når vi ser at storsamfunnet tek frå oss noko. Det skal vi ta på alvor, også i denne salen. Samtidig er det viktigare å sjå på korleis vi kan stille dei riktige krava framover og utvikle tilbodet i eit heilskapleg perspektiv, framfor å gå inn og krevje at vi skal ha akkurat det vi har i dag. Vi må sjå heilskapen framfor å gå inn i detaljar vi ikkje har føresetnader for å gå inn i. Det viktigaste er faktisk å ha lokale tenester ein treng ofte, og det er dei polikliniske tenestene. Vi i MDG satsar hardt på å utvikle betre og meir utbreidde polikliniske tenester både i psykiatrien og i somatikken. Vi har kjempa igjennom 100 mill. kr ekstra til døgnplassar i psykiatrien, og det skal vi følgje opp, men dei veit best lokalt korleis desse midlane kan brukast. Vi har tru på det lokale sjølvstyret, faktisk. Om eg er rett informert, er DPS-en i Seljord allereie i praksis nedlagt. Det har vore store rekrutteringsutfordringar, og det å prøve å oppretthalde dette no er som å piske ein død hest, dessverre. Det har også vore lågt belegg, ikkje minst frå dei lokalt. Det er også noko ein tek i betraktning. Eg har sjølvsagt vore i kontakt med Legeforeningen, mi eiga fagforeining, og dei åtvarar på det sterkaste mot at vi skal gå inn på denne måten i Troms og Seljord, slik delar av Stortinget no ønskjer å gjere. Ikkje minst i Troms er det ein situasjon der dei faktisk har ei betydeleg styrking av døgnplassar i psykiatrien, men dei ser det som fagleg nødvendig å samle det. Totalt sett vil det å vedta dette difor vere ei betydeleg svekking av det psykiske tenestetilbodet i Troms. Vi kjem difor berre til å støtte eitt forslag, og det er det første punktet i tilrådinga frå komiteen om «en enhetlig faglig gjennomgang». Vi forstår det slik at dei i kvart lokale helseføretak skal styrkje døgntilbodet i psykiatrien og styrkje det totale tilbodet, men at vi ikkje skal gå inn og detaljstyre frå Stortinget. Vi risikerer å skyte oss i foten og gjere vondt verre for dei som treng det aller mest, for det er nettopp desse dei ønskjer å satse på, ikkje minst i Troms."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Ida Lindtveit Røse,KrF,Center,hovedinnlegg,"Ida Lindtveit Røse (KrF) [10:24:43]: DPS-ene er viktige. De sikrer nærhet til behandlingstilbudet, og de sikrer også et bedre samarbeid med kommunehelsetjenesten. Det er veldig stor enighet om at dette er riktig og viktig, men likevel går utviklingen i feil retning. Istedenfor at DPS-ene styrkes, svekkes de og er nedleggingstruet. Det medfører lengre avstander og kan også heve terskelen for både å få og å be om hjelp. På den ene siden har det vært et sterkt politisk ønske om mer behandling nærmere der folk bor, at mennesker ikke skal bli kasteballer i systemet mellom instanser, og at man på den måten svekker tilbudet. Samtidig er det nettopp det som skjer. Det desentraliserte tilbudet svekkes, og det rapporteres både om nedbygging og om at tilbud avsluttes og legges ned. Det får konsekvenser – først i det små og kanskje ikke så synlig, men deretter blir det mer synlig. Statsråden viser i sitt svar til at det er personellutfordringer, og at personell er den viktigste ressursen for å gi trygge og gode tjenester. Det er jeg helt enig i. Det er allerede mangel på personell, og behovet blir enda større i årene som kommer. Når man lar det gå så langt og bygger ned et tilbud over tid, kan man heller ikke la seg overraske over at det på et tidspunkt vil oppstå personellmangel i andre enden. Det er ikke ordene som betyr noe; det er faktisk handling. Vi kan gjenta så mange ganger vi vil i denne salen at psykisk helsevern må styrkes, men når det er det motsatte som i realiteten skjer, må vi sette foten ned, og det er KrFs utgangspunkt i denne saken. Derfor støtter vi forslag til vedtak I, om at inntil det reelt sett er en plan for utvikling av distriktspsykiatriske sentre, må nedskjæringen og nedstengningen stoppe. Det er uakseptabelt at DPS-er legges ned samtidig som vi behandler denne saken, og samtidig som vi står og sier at tilbudet må styrkes. Når det gjelder forslag nr. 2, mener jeg intensjonen egentlig er ivaretatt gjennom forslag til vedtak I. Samtidig vil jeg uttrykke en stor skepsis til at vi fra Stortingets side skal begynne en detaljstyring på institusjonsnivå. Til slutt: For å sikre nok personell innenfor psykisk helsevern må det også satses på utdanning og rekruttering for framtiden. Det kan selvsagt ses på i sammenheng med andre strategier og satsinger for å sikre nok helsepersonell, men det er viktig når vi ser den utviklingen som har vært og er, at dette også er en tydelig satsing fra Stortingets side."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Statsråd Jan Christian Vestre,NA,NA,hovedinnlegg,"Statsråd Jan Christian Vestre [10:27:54]: Godt nytt år! Aller først vil jeg takke representanten Toppe for å løfte fram et viktig tema. La meg begynne med å si at vi har gode desentraliserte tjenester innen psykisk helsevern i Norge. De distriktspsykiatriske sentrene, DPS-ene, står for hovedvekten av det polikliniske tilbudet til voksne pasienter over 18 år. Det gis tilbud om døgnbehandling ved DPS-ene eller i sykehus, avhengig av pasientens tilstand og behov. Det er verdt å minne om at vi har greid å snu nedgangen i antall døgnplasser til at det nå er en økning. Den økningen kommer til å fortsette gjennom 2026 og 2027. I de planene for økt døgnkapasitet som regjeringen har bestilt, og som de regionale helseforetakene leverte på i høst, er døgntilbudet ved de distriktspsykiatriske sentrene medregnet. Jeg kommer til å stille krav til de regionale helseforetakene om at denne økningen skal fortsette også i årene framover, i tråd med de behovene helseforetakene selv har pekt på gjennom framskrivningsmodellen. Jeg vil legge til at det også er gledelig at vi ser en nedgang i ventetider for psykisk helsevern. Vi ser at stadig flere kommuner bygger ut lavterskeltilbud innen psykisk helsevern. Det jobbes også med nye måter å organisere tjenestetilbudet på, slik at pasienter som har behov for tjenester, ikke skal være kasteballer mellom kommunehelsetjenester og spesialisthelsetjenester, men at de skal få én vei inn til psykisk helsevern. Alt dette er viktige tiltak. Å sikre tilgang til døgntilbud handler om å ta vare på de mest alvorlig psykisk syke. Også for denne gruppen pågår det en styrking av tilbudet, bl.a. gjennom en overordnet plan for sikkerhetspsykiatrien. Så trenger vi å satse enda mer på forebygging og lavterskeltilbud. Det bidrar til at sykdomsbyrden kan bli mindre, både for den enkelte og for samfunnet. Jeg deler komiteens bekymring for økningen i psykiske plager, særlig når det gjelder våre barn og unge. Derfor er innsats spesielt overfor barn og unge viktig i den videre oppfølgingen av Opptrappingsplan for psykisk helse. Her er også en videre styrking av DPS-ene et viktig mål. I videreutviklingen av disse tilbudene bygger vi på de framskrivningsmodellene vi har, og jobber for å sikre et best mulig og mest mulig helhetlig tilbud til målgruppen. Så må vi også vurdere konsekvensene av all politikk når det gjelder tilgangen til helsepersonell og hvordan vi legger til rette for både å rekruttere og å beholde de fagfolkene vi trenger framover. Jeg er glad for at komiteen er engasjert i tilbudet til dem med psykiske lidelser. Jeg er glad for at vi har gode desentraliserte tjenester. Innstillingen viser at det er bred enighet om mål og ambisjoner, men noe ulike syn på hvilke beslutninger vi skal ta nasjonalt, og hvilke som bør tas av dem som er nærmere pasientene. Til slutt vil jeg si at jeg naturligvis merker meg innstillingen, og regjeringen kommer naturligvis til å følge opp de vedtakene Stortinget vil gjøre."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Kristian August Eilertsen,FrP,Right,replikk,"Kristian August Eilertsen (FrP) [10:31:13]: I høringsinnspillene fra både Legeforeningen og Fagforbundet til komiteen ble det påpekt at flere DPS-enheter har fått redusert kapasitet, de har mistet døgnfunksjoner de siste årene, og at pasienter dermed har fått lengre avstand til tilbud som tidligere var tilgjengelig lokalt. De trekker også fram at dette er en bekymringsfull utvikling. Når vi ser til Troms fylke, er det altså nå vedtatt i helseforetaket å legge ned døgntilbudet ved DPS-ene på Storslett i Nordreisa, på Storsteinnes i Balsfjord og på Silsand på Senja. Dersom det gjennomføres, står man uten døgnplasser i distriktene i Troms. Det er ingen døgnplasser igjen, det er kun i de to store byene – Harstad og Tromsø – at det er døgntilbud tilgjengelig. Hva tenker statsråden om dette? Mener han det er fornuftig at man skal stå uten døgntilbud i distriktene i Troms?"
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Kristian August Eilertsen,FrP,Right,replikk,"Kristian August Eilertsen (FrP) [10:33:13]: Det er ikke snakk om en justering av tilbudet i Troms, det er snakk om en sentralisering av tilbudet i Troms. Alt skal sentraliseres fra distriktene i fylket inn til de store byene. Det virker som statsråden mener at det er en fornuftig politikk å kutte ut døgntilbud i distriktene, og at dette kun skal være tilgjengelig i de store byene. Jeg vil minne statsråden om at Troms er et fylke med enorme avstander. Hvis man skal kjøre fra f.eks. Nordreisa, der DPS på Storslett ligger, og det i dag er døgntilbud, og til Tromsø, snakker vi altså om opp mot 4 timers kjøretid. Det vil si at avstanden for de sykeste blir betraktelig større, og tilgjengeligheten blir mindre. Det er konsekvensen av politikken statsrådens regjering fører. Mener virkelig statsråden det er fornuftig å sentralisere såpass viktige tilbud for de sykeste av de psykiatriske pasientene – inn til de største byene, der man også f.eks. har et større rusmiljø – og at man da ikke skal ha noe tilbud igjen i distriktene?"
