primary_function_no,primary_function_en,primary_topic_no,primary_topic_en,category,url,title,published_date,published_time,paragraph_type,paragraph_id,paragraph_nwords,doc_id,paragraph_uid,year,month
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-31-fx/,Norges Bank,2026-03-31,10:00,li,5,4,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx__p5,2026,3
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-31-fx/,Norges Bank,2026-03-31,10:00,p,6,94,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx__p6,2026,3
Politikkforklaring / begrunnelse,Policy explanation / justification,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-31-fx/,Norges Bank,2026-03-31,10:00,p,7,21,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx__p7,2026,3
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-31-fx/,Norges Bank,2026-03-31,10:00,p,8,76,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx__p8,2026,3
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-31-fx/,Norges Bank,2026-03-31,10:00,p,9,16,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx__p9,2026,3
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-31-fx/,Norges Bank,2026-03-31,10:00,p,10,28,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx__p10,2026,3
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-31-fx/,Norges Bank,2026-03-31,10:00,p,11,100,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_31_fx__p11,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,li,5,6,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p5,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,p,6,50,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p6,2026,3
Politikkforklaring / begrunnelse,Policy explanation / justification,Inflasjon og priser,Inflation and prices,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,blockquote,7,74,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p7,2026,3
Politikkforklaring / begrunnelse,Policy explanation / justification,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,p,8,44,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p8,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Inflasjon og priser,Inflation and prices,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,li,9,47,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p9,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,li,10,42,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p10,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,li,11,59,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p11,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Inflasjon og priser,Inflation and prices,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,p,12,59,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p12,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,p,13,79,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p13,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,p,14,41,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p14,2026,3
