doc_id,category,url,title,published_date,year,month,n_paragraphs
https___www_norges_bank_no_en_news_events_news_Press_releases_2024_2024_12_19_rate_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2024/2024-12-19-rate/,Norges Bank,2024-12-19,2024,12,9
https___www_norges_bank_no_en_news_events_news_Press_releases_2024_2024_12_30_fx_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2024/2024-12-30-fx/,Norges Bank,2024-12-30,2024,12,4
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_01_22_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-01-22/,Norges Bank,2025-01-22,2025,1,8
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_01_23_rate_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-01-23-rate/,Norges Bank,2025-01-23,2025,1,9
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_01_31_fx_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-01-31-fx/,Norges Bank,2025-01-31,2025,1,4
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_02_04_nbss_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-02-04-nbss/,Norges Bank,2025-02-04,2025,2,20
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_02_25_annual_report_financial_statements_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-02-25-annual-report-financial-statements/,Norges Bank,2025-02-25,2025,2,12
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_02_28_fx_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-02-28-fx/,Norges Bank,2025-02-28,2025,2,7
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_03_20_regnet_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-03-20-regnet/,Norges Bank,2025-03-20,2025,3,4
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_03_27_rate_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-03-27-rate/,Norges Bank,2025-03-27,2025,3,10
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_03_31_fx_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-03-31-fx/,Norges Bank,2025-03-31,2025,3,7
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_04_30_fx_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-04-30-fx/,Norges Bank,2025-04-30,2025,4,7
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_05_08_rate_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-05-08-rate/,Norges Bank,2025-05-08,2025,5,8
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_05_20_fsr_1_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-05-20-fsr-1/,Norges Bank,2025-05-20,2025,5,11
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_05_30_fx_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-05-30-fx/,Norges Bank,2025-05-30,2025,5,7
https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_06_04_fi_,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-06-04-fi/,Norges Bank,2025-06-04,2025,6,15
