fylke,legevakt,lat,lon
Buskerud,Drammen legevakt,59.74769744354611,10.189368824125316
Buskerud,Gol og Hemsedal legevakt,60.70681802528951,8.949101620649524
Buskerud,Hol kommunale legevakt,60.54442207012073,8.206552363485157
Buskerud,Kongsberg interkommunale legevakt,59.67009400291621,9.65567527014809
Buskerud,Nore og Uvdal legevakt,60.267079401391385,8.94682463950717
Buskerud,Ringerike interkommunale legevakt,60.14750046831514,10.257647895319588
Buskerud,Øvre Hallingdal legevakt / Hallingdal nattlegevakt,60.63029942775166,8.566517519948887
Vestfold,Horten kommunale legevakt,59.414009676470236,10.47040648177181
Vestfold,Larvik legevakt,59.052873716351016,10.035766583594988
Vestfold,Sandefjord legevakt,59.133823442864006,10.213369241272407
Vestfold,Tønsbergregionen legevakt,59.284955374741806,10.397079692661878
