fylke,kommunenummer,kommunenavn,grid_id,population,nearest_legevakt,distance_to_legevakt_km,lon,lat
Buskerud,3305,Ringerike,2927,4,Ringerike interkommunale legevakt,54.8,9.94543,60.61462
Buskerud,3305,Ringerike,2928,2,Ringerike interkommunale legevakt,54.6,9.96363,60.6153
Buskerud,3305,Ringerike,2935,3,Gol og Hemsedal legevakt,54.5,9.92724,60.61392
Buskerud,3305,Ringerike,2929,7,Ringerike interkommunale legevakt,53.6,9.96503,60.60636
Buskerud,3305,Ringerike,2922,3,Ringerike interkommunale legevakt,53.4,9.98322,60.60704
Buskerud,3305,Ringerike,2936,24,Gol og Hemsedal legevakt,53.3,9.90763,60.62217
Buskerud,3305,Ringerike,2940,5,Gol og Hemsedal legevakt,53,9.90621,60.63112
Buskerud,3305,Ringerike,2930,1,Ringerike interkommunale legevakt,52.7,9.96642,60.59742
Buskerud,3305,Ringerike,2923,7,Ringerike interkommunale legevakt,52.4,9.98461,60.5981
Buskerud,3305,Ringerike,2924,7,Ringerike interkommunale legevakt,51.5,9.986,60.58916
Buskerud,3305,Ringerike,2479,5,Ringerike interkommunale legevakt,51.3,10.00419,60.58984
Buskerud,3305,Ringerike,2910,3,Ringerike interkommunale legevakt,51,9.84484,60.55678
Buskerud,3305,Ringerike,2921,3,Ringerike interkommunale legevakt,50.7,9.96921,60.57953
Buskerud,3305,Ringerike,2908,4,Ringerike interkommunale legevakt,50.6,9.86301,60.55748
Buskerud,3305,Ringerike,2925,31,Ringerike interkommunale legevakt,50.5,9.98739,60.58021
Buskerud,3305,Ringerike,2911,3,Ringerike interkommunale legevakt,50.5,9.82811,60.54714
Buskerud,3305,Ringerike,2912,15,Gol og Hemsedal legevakt,50.4,9.80996,60.54643
Buskerud,3305,Ringerike,2480,17,Ringerike interkommunale legevakt,50.3,10.00557,60.58089
Buskerud,3305,Ringerike,2909,8,Ringerike interkommunale legevakt,50.1,9.84627,60.54784
Buskerud,3305,Ringerike,2913,5,Gol og Hemsedal legevakt,50,9.80852,60.55537
Buskerud,3305,Ringerike,2939,2,Ringerike interkommunale legevakt,49.9,9.89933,60.55888
Buskerud,3305,Ringerike,2920,5,Ringerike interkommunale legevakt,49.8,9.97061,60.57058
Buskerud,3305,Ringerike,2926,46,Ringerike interkommunale legevakt,49.5,9.98878,60.57127
Buskerud,3305,Ringerike,2934,11,Ringerike interkommunale legevakt,49.3,9.93566,60.56026
Buskerud,3305,Ringerike,2478,7,Ringerike interkommunale legevakt,49.3,10.00695,60.57195
Buskerud,3305,Ringerike,2931,16,Ringerike interkommunale legevakt,49,9.95383,60.56095
Buskerud,3305,Ringerike,2938,9,Ringerike interkommunale legevakt,49,9.90075,60.54994
Buskerud,3305,Ringerike,2918,14,Ringerike interkommunale legevakt,48.8,9.972,60.56164
Buskerud,3305,Ringerike,2916,152,Ringerike interkommunale legevakt,48.5,9.99017,60.56232
Buskerud,3305,Ringerike,2933,14,Ringerike interkommunale legevakt,48.4,9.93707,60.55132
