term,estimate,std.error,statistic,p.value
airline_nameRwandair,46.43459724990897,8.795020967170542,5.279645997802266,1.386360969751449e-7
airline_nameTunisair,43.73568683468713,6.803991729832501,6.4279453255249335,1.498604934160094e-10
airline_nameUganda National Airlines Company Ltd,41.797390919068306,8.787249609604558,4.756595382630683,2.0615100708715075e-6
airline_nameIndigo,40.400242146829285,6.002255538409611,6.730843411830804,2.011793373087244e-11
airline_nameBh Air,32.26888255642046,8.789867744496387,3.6711454022303145,2.456609146545548e-4
airline_nameAscend Airways Ltd,29.45986066489186,6.969220205785215,4.22713873216934,2.4372332448167458e-5
airline_nameKenya Airways,23.329457225328266,6.8034499136306525,3.429062831577242,6.138121879416703e-4
airline_nameIsrair Ltd,22.364837367868102,8.801822621002593,2.540932523964063,0.011105526952495835
airline_nameBlue Islands Limited,20.284715381618387,4.4131723359277615,4.59640227880519,4.475415471671992e-6
airline_nameQantas,19.232639882492958,6.823424564898572,2.818619843975493,0.004854569978563754
airline_nameAir Algerie,19.174775998764552,6.805760410322253,2.817433298075303,0.004872495081571077
airline_nameAir India,18.37774711960344,4.654891334256612,3.9480507277058434,8.059411778272468e-5
airline_nameCroatia Airlines,17.709692909259402,6.010137934146568,2.946636683434813,0.0032371689801484332
airline_nameNorse Atlantic Uk Ltd,17.53054375753779,4.940861453186211,3.5480743436416082,3.9398770131436606e-4
airline_nameAtlantic Airways,17.07279546723386,6.8039544024619625,2.509246014502418,0.012151049395812834
airline_nameAvianca Colombia,15.664523203815687,8.79433877153298,1.7812053425234533,0.07497972311692036
airline_nameAsiana Airlines,14.429769182352532,8.794386606702945,1.640793136312018,0.10094484385267592
airline_nameFly One,13.969683483278517,6.009879759193434,2.3244530744411005,0.02016744287379916
airline_nameAmerican Airlines,13.364101010656997,4.615832331043354,2.8952743627141677,0.0038155532180289445
(Intercept),13.344367897739719,4.379455525850486,3.0470381121516827,0.002331142714121972
airline_nameEastern Airways,12.268487740013606,4.762167370337193,2.5762403514904006,0.010035372383804466
airline_nameHisky,11.857376933206462,8.793890517512105,1.3483653122123531,0.17764236359855065
airline_nameAir Malta,-11.430774979396773,8.79094863746172,-1.3002891326978874,0.19360144261653836
airline_nameBa Cityflyer Ltd,11.304706810450654,4.5008726368339165,2.511670007708285,0.012068090328087191
airline_nameNouvelair Tunisie,11.220475788818506,8.785826857250296,1.2771109619078225,0.2016615800387728
airline_nameChina Airlines,11.102192225360195,8.795092535952481,1.2623167044549877,0.20693264135044975
airline_nameSkyalps,11.019117026458192,8.785957827304614,1.254173676114568,0.20987627294245764
airline_nameEnter Air,10.869995109534793,4.953718722699344,2.1943101169078076,0.028289286341697747
airline_nameAir Portugal,10.54132158620643,5.5540200469518695,1.8979624663025239,0.05779661125031035
airline_nameFinist Air,-10.216685404016411,6.97198171318572,-1.465391882008836,0.14291847614810024
airline_nameUnited Airlines,10.148602716468522,4.659574461404412,2.178010631771232,0.0294826240067906
airline_nameEmerald Airlines (Ireland) Limited,10.119589211121314,4.8071892420990405,2.105094828075176,0.0353657221367837
airline_nameVietnam Airlines,9.91484725309318,6.824910057701439,1.4527440170299328,0.14639907595076762
airline_nameAir Serbia,9.899629767491751,8.7942602058093,1.1256921600923597,0.260385589557363
airline_nameRoyal Brunei Airlines,9.892537808115927,8.795707026387387,1.124700695286691,0.26080556590005555
airline_nameSaudi Arabian Airlines,9.611708157752064,4.923185994313545,1.9523349653768776,0.050991031578959393
airline_nameArkia,9.606500152672245,8.794132773509546,1.0923760648246958,0.27475526178137705
airline_nameCorendon Airlines Europe,9.451957302808662,6.804653779226785,1.3890430886672813,0.1649224036062165
airline_nameTui Airways Ltd,9.140666773177426,4.025513038536856,2.270683683215634,0.02323649715808024
airline_nameAir Dolomiti,9.12922621019479,6.072513346470128,1.5033686530308723,0.13284891267974258
airline_nameAurigny Air Services,9.090803655322802,4.612360484115216,1.9709655580111667,0.048819297715878326
airline_nameRoyal Air Maroc,9.007990044365682,5.267905676343127,1.7099755762177666,0.0873734491296428
airline_nameAir Astana,8.960773250319555,8.796293418401122,1.0186987659568467,0.30842786946694956
airline_nameEmerald Airlines Uk Ltd,8.39386483384924,4.616359731813155,1.8182865550974736,0.06911969464076323
airline_nameAir Peace,8.234622753618066,6.005059947725196,1.3712806908343123,0.17038969178309712
airline_nameEgypt Air,8.059856828888945,6.0040875611506195,1.3423949512395783,0.17956920437809334
airline_nameBa Euroflyer Ltd Dba British Airways,7.903124247259543,4.112954571371309,1.9215199463349641,0.05476051429689041
airline_nameUzbekistan Airlines,7.759915666812043,6.8063761479504,1.1400950370850107,0.254337419872429
airline_nameGulf Air,7.456881024998726,5.995310399429911,1.243785647146442,0.21367531930870814
airline_nameAer Lingus (Uk) Ltd,7.4500810122794805,6.016860480481616,1.2382007255190906,0.21573820498407248
airline_nameAir Arabia Maroc,7.02651350997372,8.78593030814266,0.7997461012707623,0.42392102491131034
airline_nameBritish Airways Plc,6.550849703761407,3.990849530191546,1.6414674755845757,0.10080488344641582
airline_nameTransavia,-6.537937590921849,8.793726850995837,-0.7434774472420037,0.45725069722629996
reporting_airportManchester,6.443208997053761,1.5806105734694125,4.0764050963616105,4.692083114925716e-5
airline_nameJet2.Com Ltd,6.265725724180905,3.9563050331108656,1.583731707171762,0.11335983932356343
